Name,Area Coverage sqft per box,Weight kg per box,Unit,Billing sqft per box,Sqft Price
,,,,,
AGATHA BEIGE 48X24 PGVT,15.5,26,Boxes,16,63
NEOTI WHITE 48X24 PGVT,15.5,26,Boxes,16,63
BOTTOCHINO GOLD 48X24 PGVT,15.5,26,Boxes,16,63
CONWAY BIANCO 48X24 PGVT,15.5,26,Boxes,16,63
LUCIAN WHITE 48X24 PGVT,15.5,26,Boxes,16,63
PARKER WHITE 48X24 PGVT,15.5,26,Boxes,16,63
TANGO NARANGA 48X24 PGVT,15.5,26,Boxes,16,63
BALASTY ONYX 48X24 PGVT,15.5,26,Boxes,16,63
ANTARA GOLD 48X24 PGVT,15.5,26,Boxes,16,63
MARSI GOLD 48X24 PGVT,15.5,26,Boxes,16,63
MORIS GOLD 48X24 PGVT,15.5,26,Boxes,16,63
FIROZA AQUA 48X24 PGVT,15.5,26,Boxes,16,63
ALKIN ZELENI 48X24 PGVT,15.5,26,Boxes,16,63
AZERI GREY 48X24 PGVT,15.5,26,Boxes,16,63
EPSO WHITE 48X24 PGVT,15.5,26,Boxes,16,63
HAILE BLUE 48X24 PGVT,15.5,26,Boxes,16,63
REPEN SATUARIO 48X24 PGVT,15.5,26,Boxes,16,63
VEGA BLUE 48X24 PGVT,15.5,26,Boxes,16,63
HG IMPALA BLACK 48X24,15.5,26,Boxes,16,83
HG KORDORO BROWN 48X24,15.5,26,Boxes,16,83
HG PULIDO BLUE 48X24,15.5,26,Boxes,16,83
HG ONYX TEAL 48X24,15.5,26,Boxes,16,83
HG PLATINUM BLACK 48X24,15.5,26,Boxes,16,83
HG STROMY BLUE 48X24,15.5,26,Boxes,16,83
ZET BLUE 24X24 GVT,15.5,26,Boxes,16,63
SALOMA BEIGE 24X24 GVT,15.5,26,Boxes,16,63
GARDENA GREY 20X20,8.07,13,Boxes,,78
GARDENA NERO 20X20,8.07,13,Boxes,,78
KAG GOLD 20 KG,50,20,Pcs,,
KAG DIAMOND 20 KG,50,20,Pcs,,
BAYWALK GREY 18X12 WP ELE,8.72,10,Boxes,9,49
BEVERLY GRIS 18X12 WP ELE,8.72,10,Boxes,9,49
ROMFO GRIS 18X12 WP ELE,8.72,10,Boxes,9,49
10046 L 18X12 WP,8.72,10,Boxes,9,45
10047 HL 1 18X12 WP,8.72,10,Boxes,9,45
10048 HL 2 18X12 WP,8.72,10,Boxes,9,45
10049 D 18X12 WP,8.72,10,Boxes,9,45
10051 L 18X12 WP,8.72,10,Boxes,9,45
10052 HL 1 18X12 WP,8.72,10,Boxes,9,45
10053 HL 2 18X12 WP,8.72,10,Boxes,9,45
10054 D 18X12 WP,8.72,10,Boxes,9,45
10076 L 18X12 WP,8.72,10,Boxes,9,45
10077 HL 1 18X12 WP,8.72,10,Boxes,9,45
10078 HL 2 18X12 WP,8.72,10,Boxes,9,45
10079 D 18X12 WP,8.72,10,Boxes,9,45
10085 L 18X12 WP,8.72,10,Boxes,9,45
10087 HL 2 18X12 WP,8.72,10,Boxes,9,45
10088 D 18X12 WP,8.72,10,Boxes,9,45
10914 L 18X12 WP,8.72,10,Boxes,9,45
10915 HL 1 18X12 WP,8.72,10,Boxes,9,45
