Name,Area Coverage sqft per box,Weight kg per box
,,
AGATHA BEIGE 48X24 PGVT,15.5,26
NEOTI WHITE 48X24 PGVT,15.5,26
BOTTOCHINO GOLD 48X24 PGVT,15.5,26
CONWAY BIANCO 48X24 PGVT,15.5,26
LUCIAN WHITE 48X24 PGVT,15.5,26
PARKER WHITE 48X24 PGVT,15.5,26
TANGO NARANGA 48X24 PGVT,15.5,26
BALASTY ONYX 48X24 PGVT,15.5,26
ANTARA GOLD 48X24 PGVT,15.5,26
MARSI GOLD 48X24 PGVT,15.5,26
MORIS GOLD 48X24 PGVT,15.5,26
FIROZA AQUA 48X24 PGVT,15.5,26
ALKIN ZELENI 48X24 PGVT,15.5,26
AZERI GREY 48X24 PGVT,15.5,26
EPSO WHITE 48X24 PGVT,15.5,26
HAILE BLUE 48X24 PGVT,15.5,26
REPEN SATUARIO 48X24 PGVT,15.5,26
VEGA BLUE 48X24 PGVT,15.5,26
HG IMPALA BLACK 48X24,15.5,26
HG KORDORO BROWN 48X24,15.5,26
HG PULIDO BLUE 48X24,15.5,26
HG ONYX TEAL 48X24,15.5,26
HG PLATINUM BLACK 48X24,15.5,26
HG STROMY BLUE 48X24,15.5,26
ZET BLUE 24X24 GVT,15.5,26
SALOMA BEIGE 24X24 GVT,15.5,26
GARDENA GREY 20X20,8.07,13
GARDENA NERO 20X20,8.07,13
KAG GOLD 20 KG,50,20
KAG DIAMOND 20 KG,50,20
BAYWALK GREY 18X12 WP ELE,8.72,10
BEVERLY GRIS 18X12 WP ELE,8.72,10
ROMFO GRIS 18X12 WP ELE,8.72,10
10046 L 18X12 WP,8.72,10
10047 HL 1 18X12 WP,8.72,10
10048 HL 2 18X12 WP,8.72,10
10049 D 18X12 WP,8.72,10
10051 L 18X12 WP,8.72,10
10052 HL 1 18X12 WP,8.72,10
10053 HL 2 18X12 WP,8.72,10
10054 D 18X12 WP,8.72,10
10076 L 18X12 WP,8.72,10
10077 HL 1 18X12 WP,8.72,10
10078 HL 2 18X12 WP,8.72,10
10079 D 18X12 WP,8.72,10
10085 L 18X12 WP,8.72,10
10087 HL 2 18X12 WP,8.72,10
10088 D 18X12 WP,8.72,10
10914 L 18X12 WP,8.72,10
10915 HL 1 18X12 WP,8.72,10
10916 D 18X12 WP,8.72,10
10927 L 18X12 WP,8.72,10
10928 HL1 18X12 WP,8.72,10
10930 D 18X12 WP,8.72,10
BREE KITCHEN D 18X12 WP,8.72,10
BREE KITCHEN HL-R 18X12 WP,8.72,10
BREE KITCHEN L 18X12 WP,8.72,10
58005 L 18X12 WP,8.72,10
58006 HL1 18X12 WP,8.72,10
58007 D 18X12 WP,8.72,10
58017 L 18X12 WP,8.72,10
58018 HL1 18X12 WP,8.72,10
58020 D 18X12 WP,8.72,10
58026 L 18X12 WP,8.72,10
58027 HL1 18X12 WP,8.72,10
58028 HL2 18X12 WP,8.72,10
58029 D 18X12 WP,8.72,10
58039 L 18X12 WP,8.72,10
58040 HL1 18X12 WP,8.72,10
58041 D 18X12 WP,8.72,10
58042 D 18X12 WP,8.72,10
58057 L 18X12 WP,8.72,10
58058 HL1 18X12 WP,8.72,10
58059 D 18X12 WP,8.72,10
58065 L 18X12 WP,8.72,10
58067 HL2 18X12 WP,8.72,10
58068 D 18X12 WP,8.72,10
58074 L 18X12 WP,8.72,10
58075 HL1 18X12 WP,8.72,10
58076 HL2 18X12 WP,8.72,10
58077 D 18X12 WP,8.72,10
58084 L 18X12 WP,8.72,10
58085 HL1 18X12 WP,8.72,10
58086 KITCHEN HL R 18X12 WP,8.72,10
58087 D 18X12 WP,8.72,10
58089 L 18X12 WP,8.72,10
58090 POOJA HL1 R 18X12 WP,8.72,10
58091 POOJA HL2 18X12 WP,8.72,10
58092 KITCHEN HL R 18X12 WP,8.72,10
58093 L 18X12 WP,8.72,10
58094 POOJA HL R 18X12 WP,8.72,10
58095 KITCHEN HL R 18X12 WP,8.72,10
58104 L 18X12 WP,8.72,10
58105 HL1 18X12 WP,8.72,10
58106 D 18X12 WP,8.72,10
30046 L 18X12 WP,8.72,10
30047 HL 18X12 WP,8.72,10
30048 HL 18X12 WP,8.72,10
30049 D 18X12 WP,8.72,10
51013 L 18X12 WP,8.72,10
51014 HL 18X12 WP,8.72,10
51015 D 18X12 WP,8.72,10
51089 L 18X12 WP,8.72,10
51096 HL-R 18X12 WP,8.72,10
51097 D 18X12 WP,8.72,10
51279 L 18X12 WP,8.72,10
51281 HL 2 18X12 WP,8.72,10
51283 D 18X12 WP,8.72,10
COSERA KITCHEN D 18X12 WP,8.72,10
COSERA KITCHEN HL R 18X12 WP,8.72,10
COSERA KITCHEN L 18X12 WP,8.72,10
DIVINE POOJA HL 1 R 18X12 WP,8.72,10
DIVINE POOJA HL 2 R 18X12 WP,8.72,10
DIVINE POOJA L 18X12 WP,8.72,10
GLIDER KITCHEN D 18X12 WP,8.72,10
GLIDER KITCHEN HL R 18X12 WP,8.72,10
GLIDER KITCHEN L 18X12 WP,8.72,10
KERMIT KITCHEN D 18X12 WP,8.72,10
KERMIT KITCHEN HL R 18X12 WP,8.72,10
KERMIT KITCHEN L 18X12 WP,8.72,10
MADRID KITCHEN D 18X12 WP,8.72,10
MADRID KITCHEN HL R 18X12 WP,8.72,10
MADRID KITCHEN L 18X12 WP,8.72,10
PARLE KITCHEN D 18X12 WP,8.72,10
PARLE KITCHEN HL R 18X12 WP,8.72,10
PARLE KITCHEN L 18X12 WP,8.72,10
SEAN KITCHEN D 18X12 WP,8.72,10
SEAN KITCHEN HL R 18X12 WP,8.72,10
SEAN KITCHEN L 18X12 WP,8.72,10
ERCOSA TOPAZ 18X12 SM ELE,8.72,10
PLAZMA-EL 18X12 SM ELE,8.72,10
RILES 18X12 SM ELE,8.72,10
STONICA GRIS-EL 18X12 SM ELE,8.72,10
BLOOM D 18X12 SM,8.72,10
BLOOM HL1 18X12 SM,8.72,10
BLOOM L 18X12 SM,8.72,10
SPARTAN HL-R 18X12 SM,8.72,10
SPARTAN L 18X12 SM,8.72,10
KHD 104 18X12 HD,7.27,10
KHD 113 18X12 HD,7.27,10
KHD 123 18X12 HD,7.27,10
KHD 124 18X12 HD,7.27,10
KHD 145 18X12 HD,7.27,10
KHD 147 18X12 HD,7.27,10
KHD 148 18X12 HD,7.27,10
KHD 153 18X12 HD,7.27,10
KHD 176 18X12 HD,7.27,10
RONO GREY 16X16,8.61,18
ADAK WOOD 16X16,8.61,18
RONO NATURAL 16X16,8.61,18
ELAN BLUE 16X16,8.61,18
ERKA WOOD 16X16,8.61,18
GRETEX BEIGE 16X16,8.61,18
GRETEX GREY 16X16,8.61,18
RONO WHITE 16X16,8.61,18
TONG STONE 16X16,8.61,18
71179 L 15X10 WP,8.07,8
71182 D 15X10 WP,8.07,8
71181 HL 2 15X10 WP,8.07,8
71183 F 15X10 WP,8.07,8
10050 F 12X12 WP MAT,8.72,10
10055 F 12X12 WP MAT,8.72,10
10080 F 12X12 WP MAT,8.72,10
10089 F 12X12 WP MAT,8.72,10
10917 F 12X12 WP MAT,8.72,10
10931 F 12X12 WP MAT,8.72,10
58008 F 12X12 WP MAT,8.72,10
58021 F 12X12 WP MAT,8.72,10
58030 F 12X12 WP MAT,8.72,10
58043 F 12X12 WP MAT,8.72,10
58044 F 12X12 WP MAT,8.72,10
58060 F 12X12 WP MAT,8.72,10
58069 F 12X12 WP MAT,8.72,10
58078 F 12X12 WP MAT,8.72,10
58088 F 12X12 WP MAT,8.72,10
58107 F 12X12 WP MAT,8.72,10
30050 F 12X12 WP MAT,8.72,10
51016 F 12X12 WP MAT,8.72,10
51098 F 12X12 WP MAT,8.72,10
51284 F 12X12 WP MAT,8.72,10
SNOW WHITE ROOFING 12X12 VIT ROOF,7.75,12
BLOOM F 12X12 SM MAT,8.72,10
ROOF ALTIS MULTI 12X12 ROOF,8.72,11
ROOF LAME BLUE 12X12 ROOF,8.72,11
SPARKLE LEO MULTI 12X12 ROOF,8.72,11
ROOFING WHITE 12X12 ROOF,8.72,11
BRADFORD 12X12 PARK,7.75,12
ESNEX 12X12 PARK,7.75,12
FUYA BLUE 12X12 PARK,7.75,12
HANIS GREY 12X12 PARK,7.75,12
HOPA GREY 12X12 PARK,7.75,12
IZEC GREEN 12X12 PARK,7.75,12
LIVON NERO 12X12 PARK,7.75,12
SONICA WHITE 12X12 PARK,7.75,12
STELLA GRIS 12X12 PARK,7.75,12
STELLA WOOD 12X12 PARK,7.75,12
ZUQA GREY 12X12 PARK,7.75,12
TOBA MULTI 12X12 PARK,7.75,12
,,
EWC S TRP - WHITE,,
Tank,,
Seat cover,,
orisa pan,,
City pan,,
p drop,,
